A	A SP
MAAJN	M AAJ N SP
MAAJP	M AAJ P SP
MAAJT	M AAJ T SP
MAAJU	M AAJU SP
MAWSC	M AWS C SP
MAWSM	M AWS M SP
MAWSN	M AWS N SP
MAWSNG	M AWS NG SP
MAWST	M AWS T SP
MAWFN	M AWF N SP
MAWRN	M AWR N SP
MAWJC	M AWJ C SP
MAWJN	M AWJ N SP
MAWJT	M AWJ T SP
MEJ	M EJ SP
MEJO	M EJO SP
MEJT	M EJ T SP
MER	M ER SP
MEX	M EX SP
MEESCH	M EES CH SP
MEESN	M EES N SP
MEESU	M EESU SP
MEEF	M EEF SP
MEEFM	M EEF M SP
MEEFN	M EEF N SP
MEEJ	M EEJ SP
MEEJNH	M EEJ NH SP
MEEJT	M EEJ T SP
MIR	M IR SP
MIRA	M IRA SP
MIRM	M IR M SP
MIJ	M IJ SP
MIJN	M IJ N SP
MIJT	M IJ T SP
MOJ	M OJ SP
MOJC	M OJ C SP
MOJI	M OJI SP
MOJN	M OJ N SP
MOJNG	M OJ NG SP
MOJT	M OJ T SP
MOR	M OR SP
MORI	M ORI SP
MORM	M OR M SP
MORNG	M OR NG SP
MOOSC	M OOS C SP
MOOSI	M OOSI SP
MOOST	M OOS T SP
MOOF	M OOF SP
MOOFI	M OOFI SP
MOOFM	M OOF M SP
MOOFNG	M OOF NG SP
MOOR	M OOR SP
MOOX	M OOX SP
MOOXI	M OOXI SP
MOOJ	M OOJ SP
MOOJC	M OOJ C SP
MOOJNG	M OOJ NG SP
MOOJT	M OOJ T SP
MOWS	M OWS SP
MOWSI	M OWSI SP
MOWSP	M OWS P SP
MOWF	M OWF SP
MOWFI	M OWFI SP
MOWR	M OWR SP
MOWRN	M OWR N SP
MOWX	M OWX SP
MOWJ	M OWJ SP
MUJ	M UJ SP
MUJC	M UJ C SP
MUJN	M UJ N SP
MUJP	M UJ P SP
MUR	M UR SP
MURI	M URI SP
MURN	M UR N SP
MUWSC	M UWS C SP
MUWST	M UWS T SP
MUWFNG	M UWF NG SP
MUWRA	M UWRA SP
MUWJC	M UWJ C SP
MYX	M YX SP
NA	N A SP
NAI	N AI SP
NAM	N A M SP
NAN	N A N SP
NANG	N A NG SP
NANH	N A NH SP
NAO	N AO SP
NAY	N AY SP
NEM	N E M SP
NEO	N EO SP
NGA	NG A SP
NGAI	NG AI SP
NGAN	NG A N SP
NGANG	NG A NG SP
NGAO	NG AO SP
NGAY	NG AY SP
NGHE	NGH E SP
NGHI	NGH I SP
NGHIEEM	NGH IEE M SP
NGHIEEN	NGH IEE N SP
NGHIEENG	NGH IEE NG SP
NGHIEESN	NGH IEES N SP
NGHIEEFN	NGH IEEF N SP
NGHIEEJM	NGH IEEJ M SP
NGHIEEJN	NGH IEEJ N SP
NGHIEEJP	NGH IEEJ P SP
NGHIEEJT	NGH IEEJ T SP
NGHEF	NGH EF SP
NGHEFO	NGH EFO SP
NGHES	NGH ES SP
NGHEE	NGH EE SP
NGHEENH	NGH EE NH SP
NGHEEU	NGH EEU SP
NGHIFN	NGH IF N SP
NGHIX	NGH IX SP
NGHIXA	NGH IXA SP
NGHIXNH	NGH IX NH SP
NGHEJN	NGH EJ N SP
NGHEJO	NGH EJO SP
NGHEJT	NGH EJ T SP
NGHERO	NGH ERO SP
NGHEXN	NGH EX N SP
NGHEESCH	NGH EES CH SP
NGHEEF	NGH EEF SP
NGHEEJ	NGH EEJ SP
NGHIR	NGH IR SP
NGHIRU	NGH IRU SP
NGHIJ	NGH IJ SP
NGHIJCH	NGH IJ CH SP
NGOA	NG OA SP
NGOAN	NG OA N SP
NGOANG	NG OA NG SP
NGOAY	NG OAY SP
NGOE	NG OE SP
NGOI	NG OI SP
NGON	NG O N SP
NGOAFI	NG OAFI SP
NGOAFM	NG OAF M SP
NGOASC	NG OAS C SP
NGOASCH	NG OAS CH SP
NGOASI	NG OASI SP
NGOASO	NG OASO SP
NGOASY	NG OASY SP
NGOAXN	NG OAX N SP
NGOEFO	NG OEFO SP
NGOESO	NG OESO SP
NGOAJI	NG OAJI SP
NGOAJN	NG OAJ N SP
NGOARNH	NG OAR NH SP
NGOAWSC	NG OAWS C SP
NGOAWST	NG OAWS T SP
NGOAWFN	NG OAWF N SP
NGOAWFNG	NG OAWF NG SP
NGOAWXNG	NG OAWX NG SP
NGOAWJC	NG OAWJ C SP
NGOAWJT	NG OAWJ T SP
NGU	NG U SP
NGUY	NG UY SP
NGUYEEN	NG UYEE N SP
NGUYEEFN	NG UYEEF N SP
NGUYEEXN	NG UYEEX N SP
NGUYEEJN	NG UYEEJ N SP
NGUYEEJT	NG UYEEJ T SP
NGUAARY	NG UAARY SP
NGUOOFI	NG UOOFI SP
NGUOOFN	NG UOOF N SP
NGUOOJI	NG UOOJI SP
NGAF	NG AF SP
NGAFI	NG AFI SP
NGAFM	NG AF M SP
NGAFN	NG AF N SP
NGAFNG	NG AF NG SP
NGAFNH	NG AF NH SP
NGAFO	NG AFO SP
NGAFY	NG AFY SP
NGASCH	NG AS CH SP
NGASN	NG AS N SP
NGASNG	NG AS NG SP
NGASO	NG ASO SP
NGASP	NG AS P SP
NGAST	NG AS T SP
NGASU	NG ASU SP
NGASY	NG ASY SP
NGAAM	NG AA M SP
NGAAN	NG AA N SP
NGAAY	NG AAY SP
NGAX	NG AX SP
NGAXI	NG AXI SP
NGISA	NG ISA SP
NGOF	NG OF SP
NGOFI	NG OFI SP
NGOS	NG OS SP
NGOSC	NG OS C SP
NGOSE	NG OSE SP
NGOSI	NG OSI SP
NGOSN	NG OS N SP
NGOSNG	NG OS NG SP
NGOST	NG OS T SP
NGOO	NG OO SP
NGOOI	NG OOI SP
NGOON	NG OO N SP
NGOONG	NG OO NG SP
NGOX	NG OX SP
NGUFI	NG UFI SP
NGUSC	NG US C SP
NGUSNG	NG US NG SP
NGUST	NG US T SP
NGAWN	NG AW N SP
NGUX	NG UX SP
NGOW	NG OW SP
NGOWI	NG OWI SP
NGUW	NG UW SP
NGUWA	NG UWA SP
NGUWNG	NG UW NG SP
NGUWU	NG UWU SP
NGUWOWI	NG UWOWI SP
NGUWOWSC	NG UWOWS C SP
NGUWOWFI	NG UWOWFI SP
NGUWOWRNG	NG UWOWR NG SP
NGUWOWXNG	NG UWOWX NG SP
NGUWOWJC	NG UWOWJ C SP
NGUWOWJNG	NG UWOWJ NG SP
NGAJC	NG AJ C SP
NGAJI	NG AJI SP
NGAJN	NG AJ N SP
NGAJO	NG AJO SP
NGAJT	NG AJ T SP
NGAR	NG AR SP
NGARI	NG ARI SP
NGARNH	NG AR NH SP
NGAAST	NG AAS T SP
NGAASU	NG AASU SP
NGAASY	NG AASY SP
NGAAFM	NG AAF M SP
NGAAFN	NG AAF N SP
NGAAFY	NG AAFY SP
NGAARM	NG AAR M SP
NGAARN	NG AAR N SP
NGAARNG	NG AAR NG SP
NGAAXM	NG AAX M SP
NGAAXU	NG AAXU SP
NGAAJM	NG AAJ M SP
NGAAJP	NG AAJ P SP
NGAAJU	NG AAJU SP
NGAAJY	NG AAJY SP
NGAWSC	NG AWS C SP
NGAWSM	NG AWS M SP
NGAWSN	NG AWS N SP
NGAWST	NG AWS T SP
NGAWXNG	NG AWX NG SP
NGAWJT	NG AWJ T SP
NGOJ	NG OJ SP
NGOJC	NG OJ C SP
NGOJN	NG OJ N SP
NGOJNG	NG OJ NG SP
NGOJT	NG OJ T SP
NGOR	NG OR SP
NGOOSC	NG OOS C SP
NGOOFI	NG OOFI SP
NGOOFM	NG OOF M SP
NGOOFN	NG OOF N SP
NGOOR	NG OOR SP
NGOORM	NG OOR M SP
NGOOX	NG OOX SP
NGOOJ	NG OOJ SP
NGOOJN	NG OOJ N SP
NGOOJT	NG OOJ T SP
NGOWSN	NG OWS N SP
NGOWST	NG OWS T SP
NGOWF	NG OWF SP
NGOWX	NG OWX SP
NGOWJ	NG OWJ SP
NGOWJI	NG OWJI SP
NGOWJM	NG OWJ M SP
NGOWJP	NG OWJ P SP
NGUJ	NG UJ SP
NGUJA	NG UJA SP
NGUJC	NG UJ C SP
NGUJM	NG UJ M SP
NGUJP	NG UJ P SP
NGUR	NG UR SP
NGURI	NG URI SP
NGURN	NG UR N SP
NGUWS	NG UWS SP
NGUWSA	NG UWSA SP
NGUWFA	NG UWFA SP
NGUWFNG	NG UWF NG SP
NGUWRI	NG UWRI SP
NGUWRNG	NG UWR NG SP
NGUWX	NG UWX SP
NGUWJ	NG UWJ SP
NGUWJA	NG UWJA SP
NGUWJC	NG UWJ C SP
NHA	NH A SP
NHAI	NH AI SP
NHAM	NH A M SP
NHAN	NH A N SP
NHANG	NH A NG SP
NHANH	NH A NH SP
NHAO	NH AO SP
NHAU	NH AU SP
NHAY	NH AY SP
NHE	NH E SP
NHEM	NH E M SP
NHEN	NH E N SP
NHEO	NH EO SP
NHI	NH I SP
NHIEEN	NH IEE N SP
NHIEEU	NH IEEU SP
NHIEESC	NH IEES C SP
NHIEESP	NH IEES P SP
NHIEEFU	NH IEEFU SP
NHIEEXM	NH IEEX M SP
NHIEEXU	NH IEEXU SP
NHIEEJM	NH IEEJ M SP
NHIEEJT	NH IEEJ T SP
NHO	NH O SP
NHOAI	NH OAI SP
NHOE	NH OE SP
NHOEN	NH OE N SP
NHOM	NH O M SP
NHONG	NH O NG SP
NHOAFI	NH OAFI SP
NHOASNG	NH OAS NG SP
NHOEST	NH OES T SP
NHOERN	NH OER N SP
NHU	NH U SP
NHUNG	NH U NG SP
NHUYEEXN	NH UYEEX N SP
NHUAAFN	NH UAAF N SP
NHUAAJN	NH UAAJ N SP
NHUEEJ	NH UEEJ SP
NHUOOSM	NH UOOS M SP
NHUOOJM	NH UOOJ M SP
NHAF	NH AF SP
NHAFI	NH AFI SP
NHAFM	NH AF M SP
NHAFN	NH AF N SP
NHAFNG	NH AF NG SP
NHAFNH	NH AF NH SP
NHAFO	NH AFO SP
NHAFU	NH AFU SP
NHAS	NH AS SP
NHASC	NH AS C SP
NHASNG	NH AS NG SP
NHASNH	NH AS NH SP
NHASO	NH ASO SP
NHAST	NH AS T SP
NHASY	NH ASY SP
NHAAM	NH AA M SP
NHAAN	NH AA N SP
NHAX	NH AX SP
NHAXI	NH AXI SP
NHAXN	NH AX N SP
NHAXO	NH AXO SP
NHEF	NH EF SP
NHEFM	NH EF M SP
NHES	NH ES SP
NHESP	NH ES P SP
NHEST	NH ES T SP
NHIF	NH IF SP
NHIFN	NH IF N SP
NHIS	NH IS SP
NHISCH	NH IS CH SP
NHISM	NH IS M SP
NHIST	NH IS T SP
NHISU	NH ISU SP
NHOFE	NH OFE SP
NHOFM	NH OF M SP
NHOSC	NH OS C SP
NHOSI	NH OSI SP
NHOSM	NH OS M SP
NHOSNG	NH OS NG SP
NHOSP	NH OS P SP
NHOST	NH OS T SP
NHOO	NH OO SP
NHOOM	NH OO M SP
NHOON	NH OO N SP
NHOONG	NH OO NG SP
NHOX	NH OX SP
NHOXM	NH OX M SP
NHOXN	NH OX N SP
NHOXNG	NH OX NG SP
NHUF	NH UF SP
NHUFI	NH UFI SP
NHUFNG	NH UF NG SP
NHUS	NH US SP
NHUSA	NH USA SP
NHUSC	NH US C SP
NHUSN	NH US N SP
NHUSNG	NH US NG SP
NHUST	NH US T SP
NHAWM	NH AW M SP
NHAWN	NH AW N SP
NHAWNG	NH AW NG SP
NHIX	NH IX SP
NHUX	NH UX SP
NHUXNG	NH UX NG SP
NHOWI	NH OWI SP
NHOWN	NH OW N SP
NHUW	NH UW SP
NHUWNG	NH UW NG SP
NHUWOWSNG	NH UWOWS NG SP
NHUWOWFNG	NH UWOWF NG SP
NHUWOWXNG	NH UWOWX NG SP
NHUWOWJC	NH UWOWJ C SP
NHUWOWJNG	NH UWOWJ NG SP
NHAJC	NH AJ C SP
NHAJI	NH AJI SP
NHAJNH	NH AJ NH SP
NHAJO	NH AJO SP
NHAJT	NH AJ T SP
NHAJY	NH AJY SP
NHAR	NH AR SP
NHARI	NH ARI SP
NHARM	NH AR M SP
NHARNH	NH AR NH SP
NHARY	NH ARY SP
NHAASC	NH AAS C SP
NHAASM	NH AAS M SP
NHAASN	NH AAS N SP
NHAASP	NH AAS P SP
NHAAST	NH AAS T SP
NHAAFM	NH AAF M SP
NHAAFY	NH AAFY SP
NHAARM	NH AAR M SP
NHAAXN	NH AAX N SP
NHAAXY	NH AAXY SP
NHAAJM	NH AAJ M SP
NHAAJN	NH AAJ N SP
NHAAJP	NH AAJ P SP
NHAAJT	NH AAJ T SP
NHAAJU	NH AAJU SP
NHAWSC	NH AWS C SP
NHAWSM	NH AWS M SP
NHAWSN	NH AWS N SP
NHAWST	NH AWS T SP
NHAWFM	NH AWF M SP
NHAWFN	NH AWF N SP
NHAWFNG	NH AWF NG SP
NHAWXN	NH AWX N SP
NHAWJM	NH AWJ M SP
NHAWJNG	NH AWJ NG SP
NHAWJT	NH AWJ T SP
NHEJ	NH EJ SP
NHEJM	NH EJ M SP
NHEJP	NH EJ P SP
NHERM	NH ER M SP
NHEXO	NH EXO SP
NHEESCH	NH EES CH SP
NHEEJN	NH EEJ N SP
NHEEJU	NH EEJU SP
NHIR	NH IR SP
NHIRNH	NH IR NH SP
NHIJ	NH IJ SP
NHIJN	NH IJ N SP
NHIJP	NH IJ P SP
NHOJC	NH OJ C SP
NHOJN	NH OJ N SP
NHOJT	NH OJ T SP
NHOR	NH OR SP
NHORM	NH OR M SP
NHOOS	NH OOS SP
NHOOSI	NH OOSI SP
NHOOST	NH OOS T SP
NHOOFI	NH OOFI SP
NHOOFN	NH OOF N SP
NHOORM	NH OOR M SP
NHOORN	NH OOR N SP
NHOOJN	NH OOJ N SP
NHOOJT	NH OOJ T SP
NHOWS	NH OWS SP
NHOWSP	NH OWS P SP
NHOWF	NH OWF SP
NHOWFN	NH OWF N SP
NHOWR	NH OWR SP
NHOWJT	NH OWJ T SP
NHUJA	NH UJA SP
NHUJC	NH UJ C SP
NHUJY	NH UJY SP
NHUR	NH UR SP
NHURN	NH UR N SP
NHUWS	NH UWS SP
NHUWSC	NH UWS C SP
NHUWXNG	NH UWX NG SP
NHUWJA	NH UWJA SP
NHUWJT	NH UWJ T SP
NI	N I SP
NIA	N IA SP
NIN	N I N SP
NINH	N I NH SP
NIU	N IU SP
NIEEM	N IEE M SP
NIEEN	N IEE N SP
NIEEU	N IEEU SP
NIEEST	N IEES T SP
NIEEFM	N IEEF M SP
NIEEFNG	N IEEF NG SP
NIEEJM	N IEEJ M SP
NIEEJU	N IEEJU SP
NO	N O SP
NOM	N O M SP
NON	N O N SP
NONG	N O NG SP
NUA	N UA SP
NUNG	N U NG SP
NUOOI	N UOOI SP
NUOONG	N UOO NG SP
NUOOSI	N UOOSI SP
NUOOST	N UOOS T SP
NAF	N AF SP
NAFN	N AF N SP
NAFNG	N AF NG SP
NAFNH	N AF NH SP
NAFO	N AFO SP
NAFY	N AFY SP
NAS	N AS SP
NASCH	N AS CH SP
NASM	N AS M SP
NASN	N AS N SP
NASO	N ASO SP
NAST	N AS T SP
NASU	N ASU SP
NASY	N ASY SP
NAANG	N AA NG SP
NAAU	N AAU SP
NAAY	N AAY SP
NAXO	N AXO SP
NAXY	N AXY SP
NEF	N EF SP
NEFO	N EFO SP
NES	N ES SP
NESM	N ES M SP
NESN	N ES N SP
NESO	N ESO SP
NESP	N ES P SP
NEST	N ES T SP
NEE	N EE SP
NEEM	N EE M SP
NEEN	N EE N SP
NEEU	N EEU SP
NIF	N IF SP
NIFNH	N IF NH SP
NISCH	N IS CH SP
NISN	N IS N SP
NISNH	N IS NH SP
NIST	N IS T SP
NISU	N ISU SP
NOS	N OS SP
NOSC	N OS C SP
NOSI	N OSI SP
NOSN	N OS N SP
NOSNG	N OS NG SP
NOST	N OS T SP
NOO	N OO SP
NOOI	N OOI SP
NOOM	N OO M SP
NOON	N OO N SP
NOONG	N OO NG SP
NOXN	N OX N SP
NUFN	N UF N SP
NUFNG	N UF NG SP
NUSC	N US C SP
NUSI	N USI SP
NUSM	N US M SP
NUSNG	N US NG SP
NUSP	N US P SP
NUST	N US T SP
NAWM	N AW M SP
NAWN	N AW N SP
NAWNG	N AW NG SP
NIXA	N IXA SP
NUXNG	N UX NG SP
NOWI	N OWI SP
NOWM	N OW M SP
NUW	N UW SP
NUWOWNG	N UWOW NG SP
NUWOWSC	N UWOWS C SP
NUWOWSNG	N UWOWS NG SP
NAJ	N AJ SP
NAJC	N AJ C SP
NAJI	N AJI SP
NAJN	N AJ N SP
NAJNH	N AJ NH SP
NAJO	N AJO SP
NAJP	N AJ P SP
NAJT	N AJ T SP
NAR	N AR SP
NARN	N AR N SP
NARY	N ARY SP
NAASC	N AAS C SP
NAASM	N AAS M SP
NAASNG	N AAS NG SP
NAASU	N AASU SP
NAASY	N AASY SP
NAAFN	N AAF N SP
NAAFY	N AAFY SP
NAAJM	N AAJ M SP
NAAJP	N AAJ P SP
NAAJU	N AAJU SP
NAWSC	N AWS C SP
NAWSM	N AWS M SP
NAWSN	N AWS N SP
NAWSNG	N AWS NG SP
NAWSP	N AWS P SP
NAWFM	N AWF M SP
NAWFN	N AWF N SP
NAWFNG	N AWF NG SP
NAWXNG	N AWX NG SP
NAWJC	N AWJ C SP
NAWJNG	N AWJ NG SP
NEJP	N EJ P SP
NER	N ER SP
NERO	N ERO SP
NEESM	N EES M SP
NEESN	N EES N SP
NEESP	N EES P SP
NEEST	N EES T SP
NEESU	N EESU SP
NEEF	N EEF SP
NEEFN	N EEF N SP
NEER	N EER SP
NEEJ	N EEJ SP
NEEJM	N EEJ M SP
NIR	N IR SP
NIJCH	N IJ CH SP
NIJNH	N IJ NH SP
NIJU	N IJU SP
NOJ	N OJ SP
NOJC	N OJ C SP
NOJNG	N OJ NG SP
NOJT	N OJ T SP
NOR	N OR SP
NOOS	N OOS SP
NOOSC	N OOS C SP
NOOSI	N OOSI SP
NOOSNG	N OOS NG SP
NOOST	N OOS T SP
NOOF	N OOF SP
NOOFI	N OOFI SP
NOOFM	N OOF M SP
NOOFNG	N OOF NG SP
NOOR	N OOR SP
NOORI	N OORI SP
NOOX	N OOX SP
NOOXI	N OOXI SP
NOOJ	N OOJ SP
NOOJC	N OOJ C SP
NOOJI	N OOJI SP
NOOJN	N OOJ N SP
NOOJP	N OOJ P SP
NOWS	N OWS SP
NOWSI	N OWSI SP
NOWSP	N OWS P SP
NOWST	N OWS T SP
NOWR	N OWR SP
NOWX	N OWX SP
NOWJ	N OWJ SP
NUJ	N UJ SP
NUWSC	N UWS C SP
NUWST	N UWS T SP
NUWRA	N UWRA SP
NUWX	N UWX SP
NUWXA	N UWXA SP
NUWJ	N UWJ SP
NUWJC	N UWJ C SP
O	O SP
OAI	OAI SP
OAN	OA N SP
OANH	OA NH SP
OE	OE SP
OI	OI SP
OM	O M SP
ONG	O NG SP
OAFNH	OAF NH SP
OASCH	OAS CH SP
OASI	OASI SP
OASN	OAS N SP
OAWM	OAW M SP
OAJP	OAJ P SP
OARI	OARI SP
OAWST	OAWS T SP
OAWFN	OAWF N SP
PA	P A SP
PHA	PH A SP
PHAN	PH A N SP
PHANH	PH A NH SP
PHAO	PH AO SP
PHE	PH E SP
PHI	PH I SP
PHIM	PH I M SP
PHIEEN	PH IEE N SP
PHIEEU	PH IEEU SP
PHIEESM	PH IEES M SP
PHIEEST	PH IEES T SP
PHIEESU	PH IEESU SP
PHIEEFN	PH IEEF N SP
PHIEEJN	PH IEEJ N SP
PHO	PH O SP
PHONG	PH O NG SP
PHU	PH U SP
PHUN	PH U N SP
PHUNG	PH U NG SP
PHUY	PH UY SP
PHAFM	PH AF M SP
PHAFN	PH AF N SP
PHAFO	PH AFO SP
PHAS	PH AS SP
PHASC	PH AS C SP
PHASCH	PH AS CH SP
PHASI	PH ASI SP
PHASN	PH AS N SP
PHASO	PH ASO SP
PHASP	PH AS P SP
PHAST	PH AS T SP
PHAAN	PH AA N SP
PHAAY	PH AAY SP
PHEF	PH EF SP
PHEFN	PH EF N SP
PHEFO	PH EFO SP
PHESNG	PH ES NG SP
PHESP	PH ES P SP
PHEST	PH ES T SP
PHEE	PH EE SP
PHIF	PH IF SP
PHIFNH	PH IF NH SP
PHIS	PH IS SP
PHISA	PH ISA SP
PHISCH	PH IS CH SP
PHISM	PH IS M SP
PHISNH	PH IS NH SP
PHOF	PH OF SP
PHOFI	PH OFI SP
PHOFNG	PH OF NG SP
PHOS	PH OS SP
PHOSC	PH OS C SP
PHOSNG	PH OS NG SP
PHOST	PH OS T SP
PHOO	PH OO SP
PHUF	PH UF SP
PHUFNG	PH UF NG SP
PHUS	PH US SP
PHUSC	PH US C SP
PHUSNG	PH US NG SP
PHUST	PH US T SP
PHAWNG	PH AW NG SP
PHIXNH	PH IX NH SP
PHOW	PH OW SP
PHOWI	PH OWI SP
PHOWN	PH OW N SP
PHUWOWNG	PH UWOW NG SP
PHUWOWSC	PH UWOWS C SP
PHUWOWSN	PH UWOWS N SP
PHUWOWFNG	PH UWOWF NG SP
PHUWOWJNG	PH UWOWJ NG SP
PHAJC	PH AJ C SP
PHAJM	PH AJ M SP
PHAJNG	PH AJ NG SP
PHAJT	PH AJ T SP
PHAR	PH AR SP
PHARI	PH ARI SP
PHARN	PH AR N SP
PHARY	PH ARY SP
PHAASN	PH AAS N SP
PHAAST	PH AAS T SP
PHAAFM	PH AAF M SP
PHAAFN	PH AAF N SP
PHAARM	PH AAR M SP
PHAARY	PH AARY SP
PHAAXN	PH AAX N SP
PHAAXU	PH AAXU SP
PHAAJN	PH AAJ N SP
PHAAJT	PH AAJ T SP
PHAWSC	PH AWS C SP
PHAWRNG	PH AWR NG SP
PHEES	PH EES SP
PHEESCH	PH EES CH SP
PHEEST	PH EES T SP
PHEEF	PH EEF SP
PHEEFU	PH EEFU SP
PHEEXU	PH EEXU SP
PHEEJ	PH EEJ SP
PHEEJNH	PH EEJ NH SP
PHIR	PH IR SP
PHIRNH	PH IR NH SP
PHIJCH	PH IJ CH SP
PHOJT	PH OJ T SP
PHORNG	PH OR NG SP
PHOOS	PH OOS SP
PHOOSC	PH OOS C SP
PHOOSI	PH OOSI SP
PHOOFM	PH OOF M SP
PHOOFNG	PH OOF NG SP
PHOOR	PH OOR SP
PHOORI	PH OORI SP
PHOORNG	PH OOR NG SP
PHOOXNG	PH OOX NG SP
PHOOJNG	PH OOJ NG SP
PHOWSI	PH OWSI SP
PHOWST	PH OWS T SP
PHOWF	PH OWF SP
PHOWR	PH OWR SP
PHOWXN	PH OWX N SP
PHUJ	PH UJ SP
PHUJC	PH UJ C SP
PHUJNG	PH UJ NG SP
PHUR	PH UR SP
PHURI	PH URI SP
PHUWSC	PH UWS C SP
PIN	P I N SP
PIEEU	P IEEU SP
PIS	P IS SP
QUA	QU A SP
QUAI	QU AI SP
QUAN	QU A N SP
QUANG	QU A NG SP
QUANH	QU A NH SP
QUAY	QU AY SP
QUE	QU E SP
QUEN	QU E N SP
QUEO	QU EO SP
QUI	QU I SP
QUOAJNG	QU OAJ NG SP
QUY	QU Y SP
QUYEEN	QU YEE N SP
QUYEESN	QU YEES N SP
QUYEEST	QU YEES T SP
QUYEEFN	QU YEEF N SP
QUYEERN	QU YEER N SP
QUYEEJN	QU YEEJ N SP
QUYEEJT	QU YEEJ T SP
QUAF	QU AF SP
QUAFI	QU AFI SP
QUAFNG	QU AF NG SP
QUAFY	QU AFY SP
QUAS	QU AS SP
QUASC	QU AS C SP
QUASCH	QU AS CH SP
QUASI	QU ASI SP
QUASN	QU AS N SP
QUASNG	QU AS NG SP
QUASNH	QU AS NH SP
QUAST	QU AS T SP
QUAAN	QU AA N SP
QUAAY	QU AAY SP
QUAXNG	QU AX NG SP
QUEF	QU EF SP
QUEFN	QU EF N SP
QUEST	QU ES T SP
QUEE	QU EE SP
QUEEN	QU EE N SP
QUIF	QU IF SP
QUIS	QU IS SP
QUIST	QU IS T SP
QUYS	QU YS SP
QUYSNH	QU YS NH SP
QUYST	QU YS T SP
QUAWM	QU AW M SP
QUAWNG	QU AW NG SP
QUIX	QU IX SP
QUAJC	QU AJ C SP
QUAJCH	QU AJ CH SP
QUAJI	QU AJI SP
QUAJNG	QU AJ NG SP
QUAJNH	QU AJ NH SP
QUAJT	QU AJ T SP
QUAR	QU AR SP
QUARI	QU ARI SP
QUARN	QU AR N SP
QUARNG	QU AR NG SP
QUARY	QU ARY SP
QUAASN	QU AAS N SP
QUAAST	QU AAS T SP
QUAASY	QU AASY SP
QUAAFN	QU AAF N SP
QUAAFNG	QU AAF NG SP
QUAAFY	QU AAFY SP
QUAARN	QU AAR N SP
QUAAXN	QU AAX N SP
QUAAXY	QU AAXY SP
QUAAJN	QU AAJ N SP
QUAAJT	QU AAJ T SP
QUAAJY	QU AAJY SP
QUAWSC	QU AWS C SP
QUAWSN	QU AWS N SP
QUAWFN	QU AWF N SP
QUAWRNG	QU AWR NG SP
QUAWJC	QU AWJ C SP
QUAWJM	QU AWJ M SP
QUAWJN	QU AWJ N SP
QUAWJT	QU AWJ T SP
QUEJO	QU EJO SP
QUEES	QU EES SP
QUEEST	QU EES T SP
QUEEFNH	QU EEF NH SP
QUEEJ	QU EEJ SP
QUEEJNH	QU EEJ NH SP
QUIR	QU IR SP
QUIJ	QU IJ SP
QUOOSC	QU OOS C SP
QUOWSI	QU OWSI SP
QUOWF	QU OWF SP
QUOWFN	QU OWF N SP
QUYF	QU YF SP
QUYFNH	QU YF NH SP
QUYJ	QU YJ SP
QUYJT	QU YJ T SP
QUYR	QU YR SP
QUYX	QU YX SP
RA	R A SP
RAI	R AI SP
RAM	R A M SP
RAN	R A N SP
RANG	R A NG SP
RANH	R A NH SP
RAO	R AO SP
RAU	R AU SP
RAY	R AY SP
RE	R E SP
REN	R E N SP
REO	R EO SP
RI	R I SP
RIA	R IA SP
RINH	R I NH SP
RIU	R IU SP
RIEENG	R IEE NG SP
RIEEU	R IEEU SP
RIEESP	R IEES P SP
RIEEST	R IEES T SP
RIEEJT	R IEEJ T SP
RO	R O SP
ROI	R OI SP
ROM	R O M SP
RONG	R O NG SP
RU	R U SP
RUA	R UA SP
RUN	R U N SP
RUNG	R U NG SP
RUOOSC	R UOOS C SP
RUOOFI	R UOOFI SP
RUOORI	R UOORI SP
RUOOXNG	R UOOX NG SP
RUOOJNG	R UOOJ NG SP
RUOOJT	R UOOJ T SP
RAF	R AF SP
RAFNG	R AF NG SP
RAFNH	R AF NH SP
RAFO	R AFO SP
RAFY	R AFY SP
RASC	R AS C SP
RASCH	R AS CH SP
RASI	R ASI SP
RASN	R AS N SP
RASNG	R AS NG SP
RASO	R ASO SP
RASP	R AS P SP
RAST	R AS T SP
RASY	R ASY SP
RAAM	R AA M SP
RAAN	R AA N SP
RAAU	R AAU SP
RAX	R AX SP
RAXI	R AXI SP
RAXY	R AXY SP
REFM	R EF M SP
REFN	R EF N SP
REFO	R EFO SP
RESN	R ES N SP
RESO	R ESO SP
REST	R ES T SP
REE	R EE SP
REEN	R EE N SP
REEU	R EEU SP
RIF	R IF SP
RIFA	R IFA SP
RIFNH	R IF NH SP
RIST	R IS T SP
RISU	R ISU SP
ROFI	R OFI SP
ROFM	R OF M SP
ROFNG	R OF NG SP
ROS	R OS SP
ROSC	R OS C SP
ROSI	R OSI SP
ROSN	R OS N SP
ROST	R OS T SP
ROO	R OO SP
ROX	R OX SP
RUFA	R UFA SP
RUFM	R UF M SP
RUS	R US SP
RUSC	R US C SP
RUSM	R US M SP
RUSNG	R US NG SP
RUST	R US T SP
RAWN	R AW N SP
RAWNG	R AW NG SP
RIX	R IX SP
RUX	R UX SP
ROW	R OW SP
ROWI	R OWI SP
ROWM	R OW M SP
ROWN	R OW N SP
RUWNG	R UW NG SP
RUWOWI	R UWOWI SP
RUWOWSC	R UWOWS C SP
